Time,Inflow,Outflow
2018-02-28 00:05:01,3,4
2018-02-28 00:10:01,2,3
2018-02-28 00:15:01,1,1
2018-02-28 00:20:01,3,1
2018-02-28 00:25:01,2,1
2018-02-28 00:30:01,1,3
2018-02-28 00:35:01,2,1
2018-02-28 00:40:01,1,1
2018-02-28 00:45:01,2,1
2018-02-28 00:50:01,1,3
2018-02-28 00:55:01,2,1
2018-02-28 01:00:01,1,1
2018-02-28 01:05:01,4,1
2018-02-28 01:10:01,2,4
2018-02-28 01:15:01,1,2
2018-02-28 01:20:01,1,1
2018-02-28 01:25:01,1,1
2018-02-28 01:30:01,2,3
2018-02-28 01:35:01,1,1
2018-02-28 01:40:01,3,1
2018-02-28 01:45:01,1,3
2018-02-28 01:50:01,0,0
2018-02-28 01:55:01,1,2
2018-02-28 02:00:01,2,2
2018-02-28 02:05:01,3,1
2018-02-28 02:10:01,1,3
2018-02-28 02:15:01,3,2
2018-02-28 02:20:01,4,3
2018-02-28 02:25:01,1,3
2018-02-28 02:30:01,3,1
2018-02-28 02:35:01,1,2
2018-02-28 02:40:01,1,1
2018-02-28 02:45:01,0,0
2018-02-28 02:50:01,1,4
2018-02-28 02:55:01,0,0
2018-02-28 03:00:01,2,1
2018-02-28 03:05:01,5,1
2018-02-28 03:10:01,3,4
2018-02-28 03:15:01,2,1
2018-02-28 03:20:01,2,4
2018-02-28 03:25:01,2,1
2018-02-28 03:30:01,4,3
2018-02-28 03:35:01,1,2
2018-02-28 03:40:01,1,3
2018-02-28 03:45:01,3,1
2018-02-28 03:50:01,1,1
2018-02-28 03:55:01,2,4
2018-02-28 04:00:01,2,1
2018-02-28 04:05:01,2,1
2018-02-28 04:10:01,1,3
2018-02-28 04:15:01,3,1
2018-02-28 04:20:01,1,2
2018-02-28 04:25:01,2,3
2018-02-28 04:30:01,3,1
2018-02-28 04:35:01,1,2
2018-02-28 04:40:01,2,1
2018-02-28 04:45:01,1,3
2018-02-28 04:50:01,2,1
2018-02-28 04:55:01,1,2
2018-02-28 05:00:01,3,2
2018-02-28 05:05:01,1,1
2018-02-28 05:10:01,2,3
2018-02-28 05:15:01,3,2
2018-02-28 05:20:01,1,1
2018-02-28 05:25:01,1,1
2018-02-28 05:30:01,3,4
2018-02-28 05:35:01,2,1
2018-02-28 05:40:01,1,2
2018-02-28 05:45:01,2,1
2018-02-28 05:50:01,2,1
2018-02-28 05:55:01,1,2
2018-02-28 06:00:01,1,3
2018-02-28 06:05:01,4,2
2018-02-28 06:10:01,3,2
2018-02-28 06:15:01,1,3
2018-02-28 06:20:01,1,2
2018-02-28 06:25:01,4,1
2018-02-28 06:30:01,5,3
2018-02-28 06:35:01,1,5
2018-02-28 06:40:01,4,2
2018-02-28 06:45:01,0,0
2018-02-28 06:50:01,3,2
2018-02-28 06:55:01,2,3
2018-02-28 07:00:01,2,2
2018-02-28 07:05:01,1,4
2018-02-28 07:10:01,5,2
2018-02-28 07:15:01,5,2
2018-02-28 07:20:01,2,4
2018-02-28 07:25:01,8,3
2018-02-28 07:30:01,7,3
2018-02-28 07:35:01,8,8
2018-02-28 07:40:01,8,7
2018-02-28 07:45:01,8,10
2018-02-28 07:50:01,11,8
2018-02-28 07:55:01,4,8
2018-02-28 08:00:01,10,6
2018-02-28 08:01:01,8,6
2018-02-28 08:02:01,3,5
2018-02-28 08:03:01,6,5
2018-02-28 08:04:01,7,4
2018-02-28 08:05:01,2,7
2018-02-28 08:06:01,4,1
2018-02-28 08:07:01,5,4
2018-02-28 08:08:01,3,7
2018-02-28 08:09:01,4,3
2018-02-28 08:10:01,9,2
2018-02-28 08:11:01,7,6
2018-02-28 08:12:01,3,6
2018-02-28 08:13:01,5,4
2018-02-28 08:14:01,2,4
2018-02-28 08:15:01,2,3
2018-02-28 08:16:01,1,1
2018-02-28 08:17:01,5,6
2018-02-28 08:18:01,9,2
2018-02-28 08:19:01,16,7
2018-02-28 08:20:01,8,7
2018-02-28 08:21:01,7,9
2018-02-28 08:22:01,5,9
2018-02-28 08:23:01,7,3
2018-02-28 08:24:01,7,4
2018-02-28 08:25:01,6,3
2018-02-28 08:26:01,10,2
2018-02-28 08:27:01,9,20
2018-02-28 08:28:01,9,4
2018-02-28 08:29:01,12,6
2018-02-28 08:30:01,8,8
2018-02-28 08:31:01,8,6
2018-02-28 08:32:01,7,10
2018-02-28 08:33:01,10,7
2018-02-28 08:34:01,5,5
2018-02-28 08:35:01,13,7
2018-02-28 08:36:01,8,10
2018-02-28 08:37:01,10,13
2018-02-28 08:38:01,6,11
2018-02-28 08:39:01,15,8
2018-02-28 08:40:01,7,8
2018-02-28 08:41:01,6,4
2018-02-28 08:42:01,10,7
2018-02-28 08:43:01,7,11
2018-02-28 08:44:01,12,4
2018-02-28 08:45:01,9,11
2018-02-28 08:46:01,7,7
2018-02-28 08:47:01,12,13
2018-02-28 08:48:01,12,12
2018-02-28 08:49:01,10,8
2018-02-28 08:50:01,4,6
2018-02-28 08:51:01,8,6
2018-02-28 08:52:01,7,7
2018-02-28 08:53:01,7,8
2018-02-28 08:54:01,5,5
2018-02-28 08:55:01,9,5
2018-02-28 08:56:01,8,6
2018-02-28 08:57:01,3,13
2018-02-28 08:58:01,16,7
2018-02-28 08:59:01,19,10
2018-02-28 09:00:01,11,9
2018-02-28 09:01:01,5,8
2018-02-28 09:02:01,8,10
2018-02-28 09:03:01,13,9
2018-02-28 09:04:01,12,7
2018-02-28 09:05:01,6,12
2018-02-28 09:06:01,10,4
2018-02-28 09:07:01,13,31
2018-02-28 09:08:01,9,8
2018-02-28 09:09:01,9,10
2018-02-28 09:10:01,13,10
2018-02-28 09:11:01,11,11
2018-02-28 09:12:01,14,9
2018-02-28 09:13:01,18,9
2018-02-28 09:14:01,8,8
2018-02-28 09:15:01,9,6
2018-02-28 09:16:01,10,6
2018-02-28 09:17:01,3,20
2018-02-28 09:18:01,10,3
2018-02-28 09:19:01,7,9
2018-02-28 09:20:01,11,6
2018-02-28 09:21:01,9,8
2018-02-28 09:22:01,11,17
2018-02-28 09:23:01,11,7
2018-02-28 09:24:01,14,5
2018-02-28 09:25:01,9,10
2018-02-28 09:26:01,12,7
2018-02-28 09:27:01,9,12
2018-02-28 09:28:01,18,6
2018-02-28 09:29:01,8,13
2018-02-28 09:30:01,10,4
2018-02-28 09:31:01,16,9
2018-02-28 09:32:01,12,15
2018-02-28 09:33:01,11,7
2018-02-28 09:34:01,12,8
2018-02-28 09:35:01,10,7
2018-02-28 09:36:01,6,7
2018-02-28 09:37:01,19,12
2018-02-28 09:38:01,9,9
2018-02-28 09:39:01,15,12
2018-02-28 09:40:01,13,11
2018-02-28 09:41:01,8,11
2018-02-28 09:42:01,9,9
2018-02-28 09:43:01,18,5
2018-02-28 09:44:01,10,9
2018-02-28 09:45:01,11,13
2018-02-28 09:46:01,13,11
2018-02-28 09:47:01,12,18
2018-02-28 09:48:01,24,12
2018-02-28 09:49:01,13,16
2018-02-28 09:50:01,18,13
2018-02-28 09:51:01,11,7
2018-02-28 09:52:01,14,11
2018-02-28 09:53:01,15,11
2018-02-28 09:54:01,12,14
2018-02-28 09:55:01,17,12
2018-02-28 09:56:01,9,11
2018-02-28 09:57:01,13,20
2018-02-28 09:58:01,9,10
2018-02-28 09:59:01,19,9
2018-02-28 10:00:01,16,17
2018-02-28 10:01:01,18,13
2018-02-28 10:02:01,12,20
2018-02-28 10:03:01,23,9
2018-02-28 10:04:01,13,19
2018-02-28 10:05:01,16,13
2018-02-28 10:06:01,16,6
2018-02-28 10:07:01,15,17
2018-02-28 10:08:01,8,12
2018-02-28 10:09:01,18,11
2018-02-28 10:10:01,12,7
2018-02-28 10:11:01,15,15
2018-02-28 10:12:01,19,21
2018-02-28 10:13:01,18,16
2018-02-28 10:14:01,20,9
2018-02-28 10:15:01,15,15
2018-02-28 10:16:01,10,12
2018-02-28 10:17:01,15,19
2018-02-28 10:18:01,18,14
2018-02-28 10:19:01,16,15
2018-02-28 10:20:01,13,11
2018-02-28 10:21:01,19,15
2018-02-28 10:22:01,17,26
2018-02-28 10:23:01,17,13
2018-02-28 10:24:01,12,12
2018-02-28 10:25:01,19,14
2018-02-28 10:26:01,13,11
2018-02-28 10:27:01,12,20
2018-02-28 10:28:01,19,13
2018-02-28 10:29:01,20,11
2018-02-28 10:30:01,13,12
2018-02-28 10:31:01,13,17
2018-02-28 10:32:01,12,22
2018-02-28 10:33:01,14,15
2018-02-28 10:34:01,20,12
2018-02-28 10:35:01,20,12
2018-02-28 10:36:01,22,17
2018-02-28 10:37:01,20,20
2018-02-28 10:38:01,16,12
2018-02-28 10:39:01,16,12
2018-02-28 10:40:01,23,17
2018-02-28 10:41:01,15,18
2018-02-28 10:42:01,25,16
2018-02-28 10:43:01,24,14
2018-02-28 10:44:01,14,13
2018-02-28 10:45:01,16,15
2018-02-28 10:46:01,24,15
2018-02-28 10:47:01,20,23
2018-02-28 10:48:01,29,14
2018-02-28 10:49:01,14,16
2018-02-28 10:50:01,20,20
2018-02-28 10:51:01,18,22
2018-02-28 10:52:01,14,33
2018-02-28 10:53:01,19,12
2018-02-28 10:54:01,18,12
2018-02-28 10:55:01,20,8
2018-02-28 10:56:01,19,13
2018-02-28 10:57:01,19,27
2018-02-28 10:58:01,16,16
2018-02-28 10:59:01,14,15
2018-02-28 11:00:01,16,15
2018-02-28 11:01:01,13,10
2018-02-28 11:02:01,12,20
2018-02-28 11:03:01,20,11
2018-02-28 11:04:01,15,16
2018-02-28 11:05:01,16,19
2018-02-28 11:06:01,22,19
2018-02-28 11:07:01,22,24
2018-02-28 11:08:01,34,13
2018-02-28 11:09:01,16,15
2018-02-28 11:10:01,23,12
2018-02-28 11:11:01,19,20
2018-02-28 11:12:01,19,21
2018-02-28 11:13:01,19,20
2018-02-28 11:14:01,18,19
2018-02-28 11:15:01,16,18
2018-02-28 11:16:01,13,14
2018-02-28 11:17:01,20,37
2018-02-28 11:18:01,21,15
2018-02-28 11:19:01,23,18
2018-02-28 11:20:01,16,16
2018-02-28 11:21:01,12,23
2018-02-28 11:22:01,25,17
2018-02-28 11:23:01,22,17
2018-02-28 11:24:01,21,23
2018-02-28 11:25:01,23,18
2018-02-28 11:26:01,13,20
2018-02-28 11:27:01,13,16
2018-02-28 11:28:01,24,17
2018-02-28 11:29:01,22,19
2018-02-28 11:30:01,22,12
2018-02-28 11:31:01,24,18
2018-02-28 11:32:01,19,19
2018-02-28 11:33:01,19,17
2018-02-28 11:34:01,17,16
2018-02-28 11:35:01,19,24
2018-02-28 11:36:01,13,17
2018-02-28 11:37:01,30,30
2018-02-28 11:38:01,20,23
2018-02-28 11:39:01,32,21
2018-02-28 11:40:01,31,18
2018-02-28 11:41:01,21,27
2018-02-28 11:42:01,27,36
2018-02-28 11:43:01,16,20
2018-02-28 11:44:01,29,24
2018-02-28 11:45:01,25,24
2018-02-28 11:46:01,22,23
2018-02-28 11:47:01,28,37
2018-02-28 11:48:01,24,18
2018-02-28 11:49:01,23,23
2018-02-28 11:50:01,17,18
2018-02-28 11:51:01,15,15
2018-02-28 11:52:01,26,27
2018-02-28 11:53:01,16,23
2018-02-28 11:54:01,17,11
2018-02-28 11:55:01,16,16
2018-02-28 11:56:01,24,15
2018-02-28 11:57:01,22,30
2018-02-28 11:58:01,20,17
2018-02-28 11:59:01,28,21
2018-02-28 12:00:01,23,34
2018-02-28 12:01:01,18,23
2018-02-28 12:02:01,27,24
2018-02-28 12:03:01,30,23
2018-02-28 12:04:01,29,22
2018-02-28 12:05:01,16,27
2018-02-28 12:06:01,29,16
2018-02-28 12:07:01,24,31
2018-02-28 12:08:01,16,27
2018-02-28 12:09:01,38,20
2018-02-28 12:10:01,32,28
2018-02-28 12:11:01,23,29
2018-02-28 12:12:01,20,33
2018-02-28 12:13:01,32,24
2018-02-28 12:14:01,20,27
2018-02-28 12:15:01,32,21
2018-02-28 12:16:01,21,27
2018-02-28 12:17:01,27,32
2018-02-28 12:18:01,15,30
2018-02-28 12:19:01,26,19
2018-02-28 12:20:01,19,24
2018-02-28 12:21:01,30,19
2018-02-28 12:22:01,27,35
2018-02-28 12:23:01,31,27
2018-02-28 12:24:01,28,24
2018-02-28 12:25:01,19,25
2018-02-28 12:26:01,23,19
2018-02-28 12:27:01,12,36
2018-02-28 12:28:01,29,13
2018-02-28 12:29:01,26,23
2018-02-28 12:30:01,20,37
2018-02-28 12:31:01,22,22
2018-02-28 12:32:01,20,27
2018-02-28 12:33:01,14,14
2018-02-28 12:34:01,24,17
2018-02-28 12:35:01,18,17
2018-02-28 12:36:01,21,19
2018-02-28 12:37:01,33,35
2018-02-28 12:38:01,21,26
2018-02-28 12:39:01,21,26
2018-02-28 12:40:01,24,22
2018-02-28 12:41:01,27,20
2018-02-28 12:42:01,24,38
2018-02-28 12:43:01,35,28
2018-02-28 12:44:01,27,27
2018-02-28 12:45:01,34,27
2018-02-28 12:46:01,20,20
2018-02-28 12:47:01,35,34
2018-02-28 12:48:01,24,26
2018-02-28 12:49:01,23,27
2018-02-28 12:50:01,26,25
2018-02-28 12:51:01,32,27
2018-02-28 12:52:01,20,42
2018-02-28 12:53:01,32,22
2018-02-28 12:54:01,27,24
2018-02-28 12:55:01,29,25
2018-02-28 12:56:01,25,22
2018-02-28 12:57:01,23,32
2018-02-28 12:58:01,25,28
2018-02-28 12:59:01,33,20
2018-02-28 13:00:01,25,28
2018-02-28 13:01:01,23,25
2018-02-28 13:02:01,25,38
2018-02-28 13:03:01,41,23
2018-02-28 13:04:01,25,25
2018-02-28 13:05:01,27,28
2018-02-28 13:06:01,38,23
2018-02-28 13:07:01,25,39
2018-02-28 13:08:01,25,29
2018-02-28 13:09:01,38,18
2018-02-28 13:10:01,25,25
2018-02-28 13:11:01,23,27
2018-02-28 13:12:01,34,33
2018-02-28 13:13:01,34,23
2018-02-28 13:14:01,20,20
2018-02-28 13:15:01,19,19
2018-02-28 13:16:01,26,19
2018-02-28 13:17:01,18,40
2018-02-28 13:18:01,25,22
2018-02-28 13:19:01,42,21
2018-02-28 13:20:01,32,26
2018-02-28 13:21:01,23,31
2018-02-28 13:22:01,37,27
2018-02-28 13:23:01,19,26
2018-02-28 13:24:01,24,23
2018-02-28 13:25:01,26,20
2018-02-28 13:26:01,25,19
2018-02-28 13:27:01,18,23
2018-02-28 13:28:01,33,18
2018-02-28 13:29:01,33,30
2018-02-28 13:30:01,21,28
2018-02-28 13:31:01,19,21
2018-02-28 13:32:01,27,34
2018-02-28 13:33:01,28,22
2018-02-28 13:34:01,31,34
2018-02-28 13:35:01,48,16
2018-02-28 13:36:01,27,26
2018-02-28 13:37:01,15,44
2018-02-28 13:38:01,45,20
2018-02-28 13:39:01,44,30
2018-02-28 13:40:01,31,41
2018-02-28 13:41:01,28,18
2018-02-28 13:42:01,25,25
2018-02-28 13:43:01,21,26
2018-02-28 13:44:01,40,14
2018-02-28 13:45:01,19,19
2018-02-28 13:46:01,19,32
2018-02-28 13:47:01,23,34
2018-02-28 13:48:01,29,29
2018-02-28 13:49:01,19,18
2018-02-28 13:50:01,26,18
2018-02-28 13:51:01,26,22
2018-02-28 13:52:01,21,28
2018-02-28 13:53:01,31,20
2018-02-28 13:54:01,27,24
2018-02-28 13:55:01,20,19
2018-02-28 13:56:01,24,24
2018-02-28 13:57:01,28,24
2018-02-28 13:58:01,20,19
2018-02-28 13:59:01,29,24
2018-02-28 14:00:01,21,29
2018-02-28 14:01:01,26,20
2018-02-28 14:02:01,34,33
2018-02-28 14:03:01,29,27
2018-02-28 14:04:01,26,29
2018-02-28 14:05:01,34,19
2018-02-28 14:06:01,22,29
2018-02-28 14:07:01,20,24
2018-02-28 14:08:01,31,17
2018-02-28 14:09:01,24,21
2018-02-28 14:10:01,26,23
2018-02-28 14:11:01,24,21
2018-02-28 14:12:01,22,39
2018-02-28 14:13:01,16,35
2018-02-28 14:14:01,37,14
2018-02-28 14:15:01,28,21
2018-02-28 14:16:01,23,27
2018-02-28 14:17:01,34,31
2018-02-28 14:18:01,26,21
2018-02-28 14:19:01,25,27
2018-02-28 14:20:01,25,26
2018-02-28 14:21:01,23,23
2018-02-28 14:22:01,31,26
2018-02-28 14:23:01,15,31
2018-02-28 14:24:01,41,21
2018-02-28 14:25:01,21,25
2018-02-28 14:26:01,19,33
2018-02-28 14:27:01,30,33
2018-02-28 14:28:01,23,20
2018-02-28 14:29:01,29,25
2018-02-28 14:30:01,31,18
2018-02-28 14:31:01,31,24
2018-02-28 14:32:01,24,31
2018-02-28 14:33:01,29,22
2018-02-28 14:34:01,24,28
2018-02-28 14:35:01,34,23
2018-02-28 14:36:01,17,26
2018-02-28 14:37:01,26,30
2018-02-28 14:38:01,16,20
2018-02-28 14:39:01,25,19
2018-02-28 14:40:01,34,19
2018-02-28 14:41:01,22,27
2018-02-28 14:42:01,28,27
2018-02-28 14:43:01,30,22
2018-02-28 14:44:01,28,28
2018-02-28 14:45:01,20,20
2018-02-28 14:46:01,26,24
2018-02-28 14:47:01,26,26
2018-02-28 14:48:01,22,27
2018-02-28 14:49:01,17,18
2018-02-28 14:50:01,23,15
2018-02-28 14:51:01,31,28
2018-02-28 14:52:01,26,33
2018-02-28 14:53:01,26,24
2018-02-28 14:54:01,22,27
2018-02-28 14:55:01,26,28
2018-02-28 14:56:01,23,21
2018-02-28 14:57:01,30,25
2018-02-28 14:58:01,21,16
2018-02-28 14:59:01,22,19
2018-02-28 15:00:01,39,20
2018-02-28 15:01:01,22,28
2018-02-28 15:02:01,19,38
2018-02-28 15:03:01,24,22
2018-02-28 15:04:01,20,22
2018-02-28 15:05:01,24,21
2018-02-28 15:06:01,9,29
2018-02-28 15:07:01,32,19
2018-02-28 15:08:01,11,25
2018-02-28 15:09:01,26,29
2018-02-28 15:10:01,28,18
2018-02-28 15:11:01,35,24
